claim_id,claim_text,claim_namespace,dataset,method_route,method_or_stage,support_status,claim_type,support_basis,marine_transfer_status,evidence_strength,primary_supporting_artifact,primary_artifact_authority,supporting_review,supporting_execution_record,supporting_numerical_artifact,dataset_identity_artifact,source_script_path,primary_artifact_hash,primary_artifact_hash_source,primary_artifact_id,artifact_hash_available,dataset_hash_available,source_script_lineage_available,test_status,reproducibility_status,major_limitation,package_wording,prohibited_interpretation,reopening_condition,related_gap_ids,mapping_status,notes
C-001,Single-variable condition normalization may be insufficient to separate healthy and degraded states.,C,CODLAG,Residual route,CODLAG residual feasibility,SUPPORTED_WITH_LIMITATIONS,BOUNDARY_CLAIM,REVIEWED_NUMERICAL_EVIDENCE,STRUCTURAL_RELEVANCE_ONLY,MODERATE,docs/validation/framework_validation/CODLAG_expected_state_baseline_execution_record.md,EXECUTION_RECORD,docs/marine_package_v1/marine_package_v1_structure.md; docs/marine_package_v1/marine_package_v1_claim_boundary.md; outputs/codlag_expected_state/stratified_residual_diagnostic/CODLAG_stratified_residual_diagnostic_summary.md; docs/documentation_map.md,docs/validation/framework_validation/CODLAG_expected_state_baseline_execution_record.md,,docs/dataset_registry.md,NOT_APPLICABLE,49CFC7EF60D9E9003796BD0608EC0834112E7AF4E100549B2EB977FE85161DF9,COMPUTED_DURING_PHASE_2,COD-002,YES,YES,NOT_APPLICABLE,DEVELOPMENT_ONLY,PARTIAL,"CODLAG is structural boundary evidence, not Marine evidence; dataset/execution lineage is partial.","Use only with public-data, structural, development, process, or boundary qualifiers as indicated by support_status and marine_transfer_status.","Do not interpret as Marine validity, Health Assessment completion, deployment readiness, physical calibration, or shipboard RUL capability.",Resolve related gaps and complete authorized review before strengthening claim.,G-025;G-026,MAPPED_WITH_LIMITATIONS,Primary row for frozen claim.
C-002,Residual evidence may remain hidden when operating-condition representation is under-specified.,C,CODLAG,Residual route,CODLAG residual feasibility,SUPPORTED_WITH_LIMITATIONS,BOUNDARY_CLAIM,REVIEWED_NUMERICAL_EVIDENCE,STRUCTURAL_RELEVANCE_ONLY,MODERATE,outputs/codlag_expected_state/stratified_residual_diagnostic/CODLAG_stratified_residual_diagnostic_summary.md,FROZEN_EVIDENCE,docs/marine_package_v1/marine_package_v1_structure.md; docs/marine_package_v1/marine_package_v1_claim_boundary.md; outputs/codlag_expected_state/stratified_residual_diagnostic/CODLAG_stratified_residual_diagnostic_summary.md; docs/documentation_map.md,docs/validation/framework_validation/CODLAG_expected_state_baseline_execution_record.md,,docs/dataset_registry.md,NOT_APPLICABLE,B6EF905049E9583AD4DBFDF886F6D97564DEEE6ECC502A6541914A6BA0C17375,COMPUTED_DURING_PHASE_2,COD-001,YES,YES,NOT_APPLICABLE,DEVELOPMENT_ONLY,PARTIAL,"CODLAG is structural boundary evidence, not Marine evidence; dataset/execution lineage is partial.","Use only with public-data, structural, development, process, or boundary qualifiers as indicated by support_status and marine_transfer_status.","Do not interpret as Marine validity, Health Assessment completion, deployment readiness, physical calibration, or shipboard RUL capability.",Resolve related gaps and complete authorized review before strengthening claim.,G-025;G-026,MAPPED_WITH_LIMITATIONS,Primary row for frozen claim.
C-003,Stratified residual analysis can recover degradation structure that is not visible in globally pooled residuals.,C,CODLAG,Residual route,CODLAG residual feasibility,SUPPORTED_WITH_LIMITATIONS,EMPIRICAL_RESULT,REVIEWED_NUMERICAL_EVIDENCE,STRUCTURAL_RELEVANCE_ONLY,MODERATE,outputs/codlag_expected_state/stratified_residual_diagnostic/CODLAG_stratified_residual_diagnostic_summary.md,FROZEN_EVIDENCE,docs/marine_package_v1/marine_package_v1_structure.md; docs/marine_package_v1/marine_package_v1_claim_boundary.md; outputs/codlag_expected_state/stratified_residual_diagnostic/CODLAG_stratified_residual_diagnostic_summary.md; docs/documentation_map.md,,,docs/dataset_registry.md,NOT_APPLICABLE,B6EF905049E9583AD4DBFDF886F6D97564DEEE6ECC502A6541914A6BA0C17375,COMPUTED_DURING_PHASE_2,COD-001,YES,YES,NOT_APPLICABLE,DEVELOPMENT_ONLY,PARTIAL,"CODLAG is structural boundary evidence, not Marine evidence; dataset/execution lineage is partial.","Use only with public-data, structural, development, process, or boundary qualifiers as indicated by support_status and marine_transfer_status.","Do not interpret as Marine validity, Health Assessment completion, deployment readiness, physical calibration, or shipboard RUL capability.",Resolve related gaps and complete authorized review before strengthening claim.,G-025;G-026,MAPPED_WITH_LIMITATIONS,Primary row for frozen claim.
C-004,"Residual-route feasibility depends on condition-variable sufficiency, not only model capacity.",C,CODLAG,Residual route,CODLAG residual feasibility,SUPPORTED_WITH_LIMITATIONS,STRUCTURAL_INFERENCE,REVIEWED_NUMERICAL_EVIDENCE,STRUCTURAL_RELEVANCE_ONLY,MODERATE,docs/validation/framework_validation/CODLAG_expected_state_baseline_execution_record.md,EXECUTION_RECORD,docs/marine_package_v1/marine_package_v1_structure.md; docs/marine_package_v1/marine_package_v1_claim_boundary.md; outputs/codlag_expected_state/stratified_residual_diagnostic/CODLAG_stratified_residual_diagnostic_summary.md; docs/documentation_map.md,docs/validation/framework_validation/CODLAG_expected_state_baseline_execution_record.md,,docs/dataset_registry.md,NOT_APPLICABLE,49CFC7EF60D9E9003796BD0608EC0834112E7AF4E100549B2EB977FE85161DF9,COMPUTED_DURING_PHASE_2,COD-002,YES,YES,NOT_APPLICABLE,DEVELOPMENT_ONLY,PARTIAL,"CODLAG is structural boundary evidence, not Marine evidence; dataset/execution lineage is partial.","Use only with public-data, structural, development, process, or boundary qualifiers as indicated by support_status and marine_transfer_status.","Do not interpret as Marine validity, Health Assessment completion, deployment readiness, physical calibration, or shipboard RUL capability.",Resolve related gaps and complete authorized review before strengthening claim.,G-025;G-026,MAPPED_WITH_LIMITATIONS,Primary row for frozen claim.
PR-001,Fixed-condition datasets may not support or require a meaningful Expected State residual model.,PR,PRONOSTIA,Residual route,Fixed-condition boundary,SUPPORTED_WITH_LIMITATIONS,BOUNDARY_CLAIM,FROZEN_CLOSURE_RECORD,STRUCTURAL_RELEVANCE_ONLY,LIMITED,docs/validation/framework_validation/PRONOSTIA-BD-001_closure_review.md,CLOSURE_RECORD,docs/marine_package_v1/marine_package_v1_structure.md; docs/marine_package_v1/marine_package_v1_claim_boundary.md; docs/validation/framework_validation/PRONOSTIA-BD-001_closure_review.md; docs/documentation_map.md,docs/validation/framework_validation/PRONOSTIA-BD-001_execution_summary.md,,docs/dataset_registry.md,NOT_APPLICABLE,79E1303F1C9972F2994B22B64BF90F1915A1AFC555EA238C0E977406485443E9,COMPUTED_DURING_PHASE_2,PR-001A,YES,YES,NOT_APPLICABLE,DEVELOPMENT_ONLY,PARTIAL,"PRONOSTIA is a fixed-condition boundary case, not direct Marine evidence.","Use only with public-data, structural, development, process, or boundary qualifiers as indicated by support_status and marine_transfer_status.","Do not interpret as Marine validity, Health Assessment completion, deployment readiness, physical calibration, or shipboard RUL capability.",Resolve related gaps and complete authorized review before strengthening claim.,G-025;G-026,MAPPED_WITH_LIMITATIONS,Primary row for frozen claim.
PR-002,"When operating-condition variation is minimal, direct progression or nonresidual analysis may be more appropriate than condition-normalized residual modelling.",PR,PRONOSTIA,Residual route,Fixed-condition boundary,SUPPORTED_WITH_LIMITATIONS,STRUCTURAL_INFERENCE,FROZEN_CLOSURE_RECORD,STRUCTURAL_RELEVANCE_ONLY,LIMITED,docs/validation/framework_validation/PRONOSTIA-BD-001_closure_review.md,CLOSURE_RECORD,docs/marine_package_v1/marine_package_v1_structure.md; docs/marine_package_v1/marine_package_v1_claim_boundary.md; docs/validation/framework_validation/PRONOSTIA-BD-001_closure_review.md; docs/documentation_map.md,docs/validation/framework_validation/PRONOSTIA-BD-001_execution_summary.md,,docs/dataset_registry.md,NOT_APPLICABLE,79E1303F1C9972F2994B22B64BF90F1915A1AFC555EA238C0E977406485443E9,COMPUTED_DURING_PHASE_2,PR-001A,YES,YES,NOT_APPLICABLE,DEVELOPMENT_ONLY,PARTIAL,"PRONOSTIA is a fixed-condition boundary case, not direct Marine evidence.","Use only with public-data, structural, development, process, or boundary qualifiers as indicated by support_status and marine_transfer_status.","Do not interpret as Marine validity, Health Assessment completion, deployment readiness, physical calibration, or shipboard RUL capability.",Resolve related gaps and complete authorized review before strengthening claim.,G-025;G-026,MAPPED_WITH_LIMITATIONS,Primary row for frozen claim.
PR-003,Method selection must depend on the operating-condition structure of the dataset and equipment.,PR,PRONOSTIA,Residual route,Fixed-condition boundary,SUPPORTED_WITH_LIMITATIONS,STRUCTURAL_INFERENCE,FROZEN_CLOSURE_RECORD,STRUCTURAL_RELEVANCE_ONLY,LIMITED,docs/validation/framework_validation/PRONOSTIA-BD-001_closure_review.md,CLOSURE_RECORD,docs/marine_package_v1/marine_package_v1_structure.md; docs/marine_package_v1/marine_package_v1_claim_boundary.md; docs/validation/framework_validation/PRONOSTIA-BD-001_closure_review.md; docs/documentation_map.md,docs/validation/framework_validation/PRONOSTIA-BD-001_execution_summary.md,,docs/dataset_registry.md,NOT_APPLICABLE,79E1303F1C9972F2994B22B64BF90F1915A1AFC555EA238C0E977406485443E9,COMPUTED_DURING_PHASE_2,PR-001A,YES,YES,NOT_APPLICABLE,DEVELOPMENT_ONLY,PARTIAL,"PRONOSTIA is a fixed-condition boundary case, not direct Marine evidence.","Use only with public-data, structural, development, process, or boundary qualifiers as indicated by support_status and marine_transfer_status.","Do not interpret as Marine validity, Health Assessment completion, deployment readiness, physical calibration, or shipboard RUL capability.",Resolve related gaps and complete authorized review before strengthening claim.,G-025;G-026,MAPPED_WITH_LIMITATIONS,Primary row for frozen claim.
PR-004,"Non-application of an Expected State model in a fixed-condition case is a method boundary, not necessarily an experimental failure.",PR,PRONOSTIA,Residual route,Fixed-condition boundary,SUPPORTED_WITH_LIMITATIONS,BOUNDARY_CLAIM,FROZEN_CLOSURE_RECORD,STRUCTURAL_RELEVANCE_ONLY,LIMITED,docs/validation/framework_validation/PRONOSTIA-BD-001_closure_review.md,CLOSURE_RECORD,docs/marine_package_v1/marine_package_v1_structure.md; docs/marine_package_v1/marine_package_v1_claim_boundary.md; docs/validation/framework_validation/PRONOSTIA-BD-001_closure_review.md; docs/documentation_map.md,docs/validation/framework_validation/PRONOSTIA-BD-001_execution_summary.md,,docs/dataset_registry.md,NOT_APPLICABLE,79E1303F1C9972F2994B22B64BF90F1915A1AFC555EA238C0E977406485443E9,COMPUTED_DURING_PHASE_2,PR-001A,YES,YES,NOT_APPLICABLE,DEVELOPMENT_ONLY,PARTIAL,"PRONOSTIA is a fixed-condition boundary case, not direct Marine evidence.","Use only with public-data, structural, development, process, or boundary qualifiers as indicated by support_status and marine_transfer_status.","Do not interpret as Marine validity, Health Assessment completion, deployment readiness, physical calibration, or shipboard RUL capability.",Resolve related gaps and complete authorized review before strengthening claim.,G-025;G-026,MAPPED_WITH_LIMITATIONS,Primary row for frozen claim.
R-001,Expected State modelling can remove part of operating-condition variation.,R,C-MAPSS FD002,Residual route,BL150/BL175 residual execution,SUPPORTED_WITH_LIMITATIONS,EMPIRICAL_RESULT,FROZEN_CLOSURE_RECORD,STRUCTURAL_RELEVANCE_ONLY,MODERATE,docs/validation/framework_validation/FD002_consolidated_closure_report.md,CLOSURE_RECORD,docs/marine_package_v1/marine_package_v1_structure.md; docs/marine_package_v1/marine_package_v1_claim_boundary.md; docs/validation/framework_validation/FD002_consolidated_closure_report.md; docs/validation/framework_validation/FD002_archive_summary.md; docs/validation/framework_validation/FD002_existing_state_audit.md; docs/documentation_map.md,outputs/cmapss_fd002/BL150/fd002_bl150_execution_summary.md; lbnl_expected_state/docs/decisions/DD-002_residual_evidence_hierarchy.md,outputs/cmapss_fd002/closure/FD002_closure_manifest.json; outputs/cmapss_fd002/BL150/fd002_bl150_global_residual_evidence.csv,outputs/cmapss_fd002/existing_state_audit/FD002_dataset_lineage.csv,NOT_RECORDED,CB0F891AB913F5015E036493DAF7CF3C97BCD61C0E37E90A8F985C2134CF0355,COMPUTED_DURING_PHASE_2,FD2-001,YES,NO,NO,CROSS_MODEL_ONLY,DOCUMENT_LEVEL_ONLY,FD002 historical dataset hashes and explicit source execution scripts are incomplete; 15%/20% sensitivity and Phase B2 are deferred.,"Use only with public-data, structural, development, process, or boundary qualifiers as indicated by support_status and marine_transfer_status.","Do not interpret as Marine validity, Health Assessment completion, deployment readiness, physical calibration, or shipboard RUL capability.",Resolve related gaps and complete authorized review before strengthening claim.,G-002;G-011;G-012,MAPPED_WITH_LIMITATIONS,Primary row for frozen claim.
R-002,Residuals can carry progression-related information.,R,C-MAPSS FD002,Residual route,BL150/BL175 residual execution,SUPPORTED_WITH_LIMITATIONS,EMPIRICAL_RESULT,FROZEN_CLOSURE_RECORD,STRUCTURAL_RELEVANCE_ONLY,MODERATE,docs/validation/framework_validation/FD002_consolidated_closure_report.md,CLOSURE_RECORD,docs/marine_package_v1/marine_package_v1_structure.md; docs/marine_package_v1/marine_package_v1_claim_boundary.md; docs/validation/framework_validation/FD002_consolidated_closure_report.md; docs/validation/framework_validation/FD002_archive_summary.md; docs/validation/framework_validation/FD002_existing_state_audit.md; docs/documentation_map.md,outputs/cmapss_fd002/BL150/fd002_bl150_execution_summary.md; lbnl_expected_state/docs/decisions/DD-002_residual_evidence_hierarchy.md,outputs/cmapss_fd002/closure/FD002_closure_manifest.json; outputs/cmapss_fd002/BL150/fd002_bl150_global_residual_evidence.csv,outputs/cmapss_fd002/existing_state_audit/FD002_dataset_lineage.csv,NOT_RECORDED,CB0F891AB913F5015E036493DAF7CF3C97BCD61C0E37E90A8F985C2134CF0355,COMPUTED_DURING_PHASE_2,FD2-001,YES,NO,NO,CROSS_MODEL_ONLY,DOCUMENT_LEVEL_ONLY,FD002 historical dataset hashes and explicit source execution scripts are incomplete; 15%/20% sensitivity and Phase B2 are deferred.,"Use only with public-data, structural, development, process, or boundary qualifiers as indicated by support_status and marine_transfer_status.","Do not interpret as Marine validity, Health Assessment completion, deployment readiness, physical calibration, or shipboard RUL capability.",Resolve related gaps and complete authorized review before strengthening claim.,G-002;G-011;G-012,MAPPED_WITH_LIMITATIONS,Primary row for frozen claim.
R-003,Residual evidence remained similar under BL150 and BL175.,R,C-MAPSS FD002,Residual route,BL150/BL175 residual execution,SUPPORTED_WITH_LIMITATIONS,EMPIRICAL_RESULT,FROZEN_CLOSURE_RECORD,STRUCTURAL_RELEVANCE_ONLY,MODERATE,docs/validation/framework_validation/FD002_consolidated_closure_report.md,CLOSURE_RECORD,docs/marine_package_v1/marine_package_v1_structure.md; docs/marine_package_v1/marine_package_v1_claim_boundary.md; docs/validation/framework_validation/FD002_consolidated_closure_report.md; docs/validation/framework_validation/FD002_archive_summary.md; docs/validation/framework_validation/FD002_existing_state_audit.md; docs/documentation_map.md,outputs/cmapss_fd002/BL150/fd002_bl150_execution_summary.md; outputs/cmapss_fd002/BL175/fd002_bl175_execution_summary.md; lbnl_expected_state/docs/decisions/DD-004_semantic_window_validation.md,outputs/cmapss_fd002/closure/FD002_closure_manifest.json; outputs/cmapss_fd002/BL150/fd002_bl150_global_residual_evidence.csv; outputs/cmapss_fd002/BL175/fd002_bl175_global_residual_evidence.csv,outputs/cmapss_fd002/existing_state_audit/FD002_dataset_lineage.csv,NOT_RECORDED,CB0F891AB913F5015E036493DAF7CF3C97BCD61C0E37E90A8F985C2134CF0355,COMPUTED_DURING_PHASE_2,FD2-001,YES,NO,NO,CROSS_MODEL_ONLY,DOCUMENT_LEVEL_ONLY,FD002 historical dataset hashes and explicit source execution scripts are incomplete; 15%/20% sensitivity and Phase B2 are deferred.,"Use only with public-data, structural, development, process, or boundary qualifiers as indicated by support_status and marine_transfer_status.","Do not interpret as Marine validity, Health Assessment completion, deployment readiness, physical calibration, or shipboard RUL capability.",Resolve related gaps and complete authorized review before strengthening claim.,G-002;G-011;G-012,MAPPED_WITH_LIMITATIONS,Primary row for frozen claim.
R-004,A small primary channel set can be selected from residual evidence.,R,C-MAPSS FD002,Residual route,Health Evidence v0,SUPPORTED_WITH_LIMITATIONS,EMPIRICAL_RESULT,FROZEN_CLOSURE_RECORD,STRUCTURAL_RELEVANCE_ONLY,MODERATE,docs/validation/framework_validation/FD002_health_evidence_v0_execution_summary.md,EXECUTION_RECORD,docs/marine_package_v1/marine_package_v1_structure.md; docs/marine_package_v1/marine_package_v1_claim_boundary.md; docs/validation/framework_validation/FD002_consolidated_closure_report.md; docs/validation/framework_validation/FD002_archive_summary.md; docs/validation/framework_validation/FD002_existing_state_audit.md; lbnl_expected_state/docs/architecture/health_evidence_framework.md; docs/documentation_map.md,docs/validation/framework_validation/FD002_health_evidence_v0_execution_summary.md,outputs/cmapss_fd002/closure/FD002_closure_manifest.json; outputs/cmapss_fd002/health_evidence_v0/CMAPSS_FD002_health_evidence_channel_summary.csv,outputs/cmapss_fd002/existing_state_audit/FD002_dataset_lineage.csv,NOT_RECORDED,A77CAACFD93A66E4400A57A3038CB6959905EECC739DF8B1A7E9505E253A9612,COMPUTED_DURING_PHASE_2,FD2-009,YES,NO,NO,CROSS_MODEL_ONLY,DOCUMENT_LEVEL_ONLY,FD002 historical dataset hashes and explicit source execution scripts are incomplete; 15%/20% sensitivity and Phase B2 are deferred.,"Use only with public-data, structural, development, process, or boundary qualifiers as indicated by support_status and marine_transfer_status.","Do not interpret as Marine validity, Health Assessment completion, deployment readiness, physical calibration, or shipboard RUL capability.",Resolve related gaps and complete authorized review before strengthening claim.,G-002;G-011;G-012,MAPPED_WITH_LIMITATIONS,Primary row for frozen claim.
